sector
Miscellaneous
Conglomerates - Conglomerates
Consumer Discretionary - Automobiles
Consumer Discretionary - Household Goods & Electronics
Consumer Discretionary - Media & Entertainment
Consumer Discretionary - Specialty Retail
Consumer Discretionary - Support Services
Consumer Discretionary - Textiles & Clothing
Consumer Discretionary - Travel & Leisure
Consumer Staples - Agricultural Products
Consumer Staples - Consumer Staple Retailers
Consumer Staples - Food & Beverages
Energy - Coal
Energy - Oil & Gas
Financials - Banks
Financials - Insurance
Financials - Other Financials
Healthcare - Other Healthcare
Healthcare - Pharmaceuticals & Biotechnology
Industrials - Commercial & Professional Services
Industrials - Industrial Engineering
Industrials - Industrial Transportation
Information Technology - IT Hardware
Information Technology - Semiconductors
Information Technology - Software & Services
Materials - Basic Materials
Materials - Diversified Metals & Minerals
Materials - Gold & Precious Metals
Properties & Construction - Construction
Properties & Construction - Properties
Telecommunications - Telecommunications
Utilities - Utilities
